name,address,details_url,image_url
Barrigudinha Buteco,"Avenida dos Engenheiros, 1071 | Alípio de Melo, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/barrigudinha-buteco/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050518/barrigudinha_bodasaopradoribaomolhorubi_bh_2025_rodneycosta_unibh-8195-scaled.jpg
Barzim dos amigos,"Rua Lindolfo de Azevedo, 1263 | Jardim América, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/barzim-dos-amigos/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150257/bardosamigos_porpetadebuteco_bh_2025_isaquerodrigues_unibh-7775-scaled.jpg
Bazin Bar,"Rua Orozimbo Nonato, 1053 | Dona Clara, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bazin-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150411/bazim_bodasdeprata_bh_2025_rodneycosta_unibh-8388-scaled.jpg
Beco Restaurante,"Rua Tamoios, 232 | Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/beco-restaurante/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150511/becorestaurante_ladicasa_bh_2025_fernandaoliveira_unibh-8137-scaled.jpg
Benjamin Bar,"Rua Coronel José Benjamim, 770 | Padre Eustáquio, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/benjamin-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050454/benjamin_boizimnomilharal_bh_2025_isaquerodrigues_unibh-7748-scaled.jpg
Boteco 86,"Rua Jacarina, 86 | Padre Eustáquio, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/boteco-86/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150606/boteco86_bolinhonordestino_bh_2025_isaquerodrigues_unibh-7714-scaled.jpg
Botequim Buritis,"Rua Vitório Magnavaca, 39 | Buritis, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/botequim-buritis/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050402/botequimburitis_butequeiro_bh_2025_isaquerodrigues_unibh-7665-scaled.jpg
Botequim de Lourdes,"Rua Curitiba, 2039 | Lourdes, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/botequim-de-lurdes/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150737/butequimlourdes_rocamboledetorresmoquesoobutequimtem_bh_2025_rodneycosta_unibh-9228-scaled.jpg
Buteco do Lili,"R. Líbero Badaró, 493 - Dona Clara, Belo Horizonte - MG, 31255-620",https://comidadibuteco.com.br/buteco/3151-autosave-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050340/butecodolili_saboresdeprata_bh_2025_rodneycosta_unibh-8489-scaled.jpg
Buteco do Rod,"Rua José Moura Peçanha, 12 | Ouro Preto, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/buteco-do-rod/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150856/butecodorod_caneladebutequeiro_bh_2025_isaquerodrigues_unibh-8863-scaled.jpg
Buteco Tô D’Boa,"Avenida Virgílio de Melo Franco, 400 | Jardim Atlântico, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/buteco-to-dboa/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151018/butecotodeboa_paletasuinamineira_bh_2025_isaquerodrigues_unibh-7945-scaled.jpg
Buteco’s Bar,"R. Ernesto Braga, 2 - Jardim Atlântico, Belo Horizonte - MG, 31555-040",https://comidadibuteco.com.br/buteco/3145-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050320/butecosbar_nuhrachouminhacostela_bh_2025_rodneycosta_unibh-8662-scaled.jpg
Butiquim On Cê Tá?,"Avenida Gen. Olímpio Mourão Filho, 754 | Itapoã, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/butiquim-on-ce-ta/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050251/butequimonceta_almodegadamammatereza_bh_2025_isaquerodrigues_unibh-9021-scaled.jpg
Café Bahia,"Rua Tupis, 369 | Centro, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/3147-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050158/cafebahia_trupiqueinobahia_bh_2025_amandacantanhede_unibh-9006-scaled.jpg
Café Palhares,"Rua dos Tupinambás, 638 | Centro, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/3149-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050219/cafepalhares_polpetadeberingelacomdoisqueijos_bh_2025_fernandaoliveira_unibh-8289-scaled.jpg
Camisola Bar,"Rua Luther King, 242 | Cidade Nova, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/camisola-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151142/camisola_costelamineira_bh_2025_rodneycosta_unibh-7449-scaled.jpg
Canela Amarela,"Praça Leonardo Gutierrez, 195 | Gutierrez, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/canela-amarela/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151248/canelaamarela_bolanarede_bh_2025_isaquerodrigues_unibh-9287-scaled.jpg
Cantina Arte Quintal,"Rua Realengo, 150 | Caiçara, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/cantina-arte-quintal/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151606/cantinaartequinta_fraudinhaacachacaecerveja_bh_2025_isaquerodrigues_unibh-7690-scaled.jpg
Cantinho da Baiana,"Avenida Itaité, 422 | São Geraldo, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/cantinho-da-baiana/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151713/cantinhodabaianamineirounos25_bh_2025_rodneycosta_unibh-8748-scaled.jpg
Casa da Madrinha,"Avenida Barbacena, 212 | Barro Preto, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/casa-da-madrinha/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151819/casadamadrinha_bemmineiro_bh_2025_amandacantanhede_unibh-8867-scaled.jpg
Cervejaria Pajé,"Avenida Capim Branco, 419 | Vista Alegre, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/cervejaria-paje/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19151930/cervejariapaje_xukurukariri_bh_2025_mylenaizis_unibh-8027-scaled.jpg
Chapa Mágica,"Avenida Waldomiro Lobo, 305 | Guarani, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/chapa-magica/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152044/chapamagica_incangadodeihameebancondadonabiu_bh_2025_amandacantanhede_unibh-8830-scaled.jpg
Choperia América Norte Sul,"Rua Chico Rei, 190 | Estrela do Oriente, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/choperia-america-norte-sul/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050104/americanorteesul_tiragostoescondido_bh_2025_rodneycosta_unibh-7408-scaled.jpg
Chopp da Esquina,"Rua Garret, 263 | Nova Granada, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/chopp-da-esquina/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152143/choppdaesquina_roledochopp_bh_2025_isaquerodrigues_unibh-8826-scaled.jpg
Companhia do Dino,"Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/companhia-do-dino/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050131/companhiadodino_barrigadodinoc_bh_2025_rodneycosta_unibh-7498-scaled.jpg
Conectados Bar,"Avenida Francisco Sá, 280 | Prado, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/conectados-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152240/conectadosbar_ajoelhouvaiterquerezar_bh_2025_amandacantanhede_unibh-8227-scaled.jpg
COSMOS,"Rua Vicente Risola, 1305 - Santa Ines, Belo Horizonte - MG, 31080-160",https://comidadibuteco.com.br/buteco/cosmos/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050033/cosmos_meteoroexplosaodesabores_bh_2025_rodneycosta_unibh-7483-scaled.jpg
Deck Boi na Brasa,"Rua Desembargador José Satyro, 302 | Castelo, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/deck-boi-na-brasa/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152342/deckboinabrasa_tulipadochefe_bh_2025_isaquerodrigues_unibh-9360-scaled.jpg
Dona Dora,"Rua Rio de Janeiro, 1205 | Centro, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/dona-dora/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152435/donadora_boleco_bolodecuteco_bh_2025_rodneycosta_unibh-8708-scaled.jpg
Dona Ju Gastro Bar,"Estrada dos Borges, 1520 | Jardim Vitória, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/dona-ju-gastro-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152529/donajugastro_ju-elho_bh_2025_rodneycosta_unibh-7719-scaled.jpg
Dona Suica,"Rua João Samaha, 390 | São João Batista (Venda Nova), Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/3157-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045850/donasuica_pratodacasa_bh_2025_mylenaizis_unibh-9180-scaled.jpg
Ember BBQ,"Rua São Romão, 460 | São Pedro, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/ember-bbq/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045825/embeer_cupimsertanejo_bh_2025_isaquerodrigues_unibh-7851-scaled.jpg
Espetinho do Boi,"Rua São Paulo da Cruz, 357 | Barreiro, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/espetinho-do-boi/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152726/espetinhodoboi_brigadeirodoboi_bh_2025_rodneycosta_unibh-8501-scaled.jpg
