full_address;address;name;lat;lng;data;alvara;cdb_idx
AVE WALDYR SOEIRO EMRICH, 5172, nan, OLARIA, Belo Horizonte, Minas Gerais, Brasil;AVE WALDYR SOEIRO EMRICH, 5172, OLARIA, Belo Horizonte, Minas Gerais, Brasil;28.650.094 DIEGO ALISON ISRAEL SANTOS;;;28-08-2024;NÃO;-1
RUA FRANCISCO BICALHO, 2085, LOJA, CAICARA ADELAIDE, Belo Horizonte, Minas Gerais, Brasil;RUA FRANCISCO BICALHO, 2085, CAICARA ADELAIDE, Belo Horizonte, Minas Gerais, Brasil;GIL DO PEIXE;-19.9080208;-43.9757547;19-09-2017;NÃO;-1
RUA FRANCISCO DESLANDES, 900, LOJA 302 PAVMTOL1 L3 L4, ANCHIETA, Belo Horizonte, Minas Gerais, Brasil;RUA FRANCISCO DESLANDES, 900, ANCHIETA, Belo Horizonte, Minas Gerais, Brasil;COCO BAMBU BH;-19.9516153;-43.9277651;04-09-2017;SIM;-1
ROD BR TREZENTOS E CINQUENTA E SEIS, 3049, SALA MA26ABC32A, BELVEDERE, Belo Horizonte, Minas Gerais, Brasil;ROD BR TREZENTOS E CINQUENTA E SEIS, 3049, BELVEDERE, Belo Horizonte, Minas Gerais, Brasil;COCO BAMBU CONCEITO BH SHOPPING;;;17-12-2019;SIM;-1
RUA PROFESSORA IRACEMA PIMENTA, 55, nan, SANTA LUCIA, Belo Horizonte, Minas Gerais, Brasil;RUA PROFESSORA IRACEMA PIMENTA, 55, SANTA LUCIA, Belo Horizonte, Minas Gerais, Brasil;SUSHI JAPA SAO BENTO;-19.9553311;-43.9490308;20-09-2017;NÃO;-1
RUA DA BAHIA, 1148, LOJA 22, CENTRO, Belo Horizonte, Minas Gerais, Brasil;RUA DA BAHIA, 1148, CENTRO, Belo Horizonte, Minas Gerais, Brasil;MALEBAR;-19.9250301;-43.93764;04-09-2017;SIM;-1
AVE RAJA GABAGLIA, 2671, nan, SAO BENTO, Belo Horizonte, Minas Gerais, Brasil;AVE RAJA GABAGLIA, 2671, SAO BENTO, Belo Horizonte, Minas Gerais, Brasil;AMB COMERCIO E EVENTOS LTDA;;;04-09-2017;NÃO;-1
RUA BROTAS, 85, nan, SAO SALVADOR, Belo Horizonte, Minas Gerais, Brasil;RUA BROTAS, 85, SAO SALVADOR, Belo Horizonte, Minas Gerais, Brasil;BUTECAR;-19.8945585;-44.0150056;15-09-2017;NÃO;-1
RUA JOSE CLETO, 991, LOJA A, SANTA CRUZ, Belo Horizonte, Minas Gerais, Brasil;RUA JOSE CLETO, 991, SANTA CRUZ, Belo Horizonte, Minas Gerais, Brasil;16.798.726 MARCELO DUARTE ARAUJO;-19.8765417;-43.931516;04-09-2017;NÃO;-1
AVE OLEGARIO MACIEL, 316, LOJA A, CENTRO, Belo Horizonte, Minas Gerais, Brasil;AVE OLEGARIO MACIEL, 316, CENTRO, Belo Horizonte, Minas Gerais, Brasil;ACESSORIOS GUIMARAES;;;17-09-2017;SIM;-1
RUA CRISTINA, 555, nan, SION, Belo Horizonte, Minas Gerais, Brasil;RUA CRISTINA, 555, SION, Belo Horizonte, Minas Gerais, Brasil;ALEXANDRA MACHADO OLIVEIRA 04109917670;-19.9475547;-43.9338241;17-09-2017;NÃO;-1
RUA BARAO DE MACAUBAS, 85, nan, SANTO ANTONIO, Belo Horizonte, Minas Gerais, Brasil;RUA BARAO DE MACAUBAS, 85, SANTO ANTONIO, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE TIA NEUZA;-19.9396065;-43.9444739;18-09-2017;SIM;-1
AVE JEQUITINHONHA, 867, nan, ALTO VERA CRUZ, Belo Horizonte, Minas Gerais, Brasil;AVE JEQUITINHONHA, 867, ALTO VERA CRUZ, Belo Horizonte, Minas Gerais, Brasil;BAR DA SONIA;;;20-09-2017;NÃO;-1
RUA CONCEICAO DO CANINDE, 345, nan, SAO GABRIEL, Belo Horizonte, Minas Gerais, Brasil;RUA CONCEICAO DO CANINDE, 345, SAO GABRIEL, Belo Horizonte, Minas Gerais, Brasil;CHAPEU DE PALHA;-19.8528586;-43.9088417;18-09-2017;NÃO;-1
RUA PADRE PEDRO PINTO, 5980, LOJA, MARIA HELENA, Belo Horizonte, Minas Gerais, Brasil;RUA PADRE PEDRO PINTO, 5980, MARIA HELENA, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE D MAIS;-19.8029803;-43.9977204;12-09-2017;NÃO;-1
RUA ESPINOSA, 140, nan, SANTO ANDRE, Belo Horizonte, Minas Gerais, Brasil;RUA ESPINOSA, 140, SANTO ANDRE, Belo Horizonte, Minas Gerais, Brasil;SABOR MINEIRO DA FLAVIA;-19.9060616;-43.9572154;13-09-2017;NÃO;-1
RUA SANTA RITA DURAO, 153, nan, FUNCIONARIOS, Belo Horizonte, Minas Gerais, Brasil;RUA SANTA RITA DURAO, 153, FUNCIONARIOS, Belo Horizonte, Minas Gerais, Brasil;CAFEBIER;-19.936058;-43.9280832;13-09-2017;NÃO;-1
RUA MUNIZ, 183, CONJ Casa, SANTA SOFIA, Belo Horizonte, Minas Gerais, Brasil;RUA MUNIZ, 183, SANTA SOFIA, Belo Horizonte, Minas Gerais, Brasil;LANCHONETE DO DUDU;-19.9505633;-43.96682;18-09-2017;NÃO;-1
RUA SEBASTIAO MOREIRA, 81, LOJA, TIROL, Belo Horizonte, Minas Gerais, Brasil;RUA SEBASTIAO MOREIRA, 81, TIROL, Belo Horizonte, Minas Gerais, Brasil;ESPACO MISTURA FINA;-19.9889517;-44.0384295;18-09-2017;NÃO;-1
RUA LORENA, 185, LOJA, JARDIM MONTANHES, Belo Horizonte, Minas Gerais, Brasil;RUA LORENA, 185, JARDIM MONTANHES, Belo Horizonte, Minas Gerais, Brasil;BAR HORA EXTRA;-19.9101804;-43.9836521;06-09-2017;NÃO;-1
